
	carbon	oxygen	iron	nitrogen
GCF_000193375.1	8.451	4.464	0.863	2.492	8.415
GCF_000193395.1	-0.024	0.689	-0.498	3.731	6.568
GCF_000193595.2	-1.700	3.028	3.152	3.470	15.548
GCF_000194135.1	4.697	9.826	1.283	1.554	7.696
GCF_000194605.1	-1.357	1.174	2.155	4.363	9.515
GCF_000194625.1	10.476	30.221	2.749	3.636	9.456
GCF_000194745.1	-0.850	3.661	4.436	4.435	17.070
GCF_000194805.1	2.469	3.333	2.674	7.425	15.999
GCF_000195085.1	-0.257	2.998	3.504	4.104	9.540
GCF_000195275.1	2.565	6.065	1.825	1.161	3.677
GCF_000195295.1	10.647	14.514	3.171	4.033	10.980
GCF_000195315.1	1.682	0.357	0.654	1.012	2.477
GCF_000195335.1	4.984	2.591	3.103	4.298	13.549
GCF_000195515.1	1.667	1.191	3.424	3.519	12.364
GCF_000195555.1	-0.399	1.501	1.200	2.048	9.438
GCF_000195575.1	-2.698	-1.071	0.012	-0.114	1.554
GCF_000195895.1	5.585	77.795	5.102	0.416	10.472
GCF_000196015.1	1.670	4.764	4.168	7.998	16.752
GCF_000196095.1	0.854	2.978	3.053	9.904	11.832
GCF_000196215.1	-0.965	-0.359	0.575	-0.154	0.553
GCF_000196235.1	-1.143	0.102	3.293	2.221	14.471
GCF_000196275.1	0.857	2.714	3.278	3.986	14.780
GCF_000196295.1	-0.150	2.754	1.908	3.113	11.733
GCF_000196315.1	-1.846	-1.752	1.738	4.457	5.816
GCF_000196355.1	0.384	3.024	3.290	7.187	14.285
GCF_000196395.1	2.158	5.565	2.911	8.554	14.905
GCF_000196435.1	-0.206	0.792	1.648	4.104	8.117
GCF_000196455.1	1.843	8.330	0.241	0.585	7.018
GCF_000196475.1	0.365	5.165	3.284	2.218	12.929
GCF_000196495.1	0.820	2.720	3.349	8.174	11.228
GCF_000196515.1	2.754	9.285	7.493	3.272	15.114
GCF_000196535.1	4.813	2.504	-0.091	0.572	8.448
GCF_000196615.1	-0.110	4.267	3.094	4.868	14.390
GCF_000196655.1	5.618	77.065	5.999	3.986	11.465
GCF_000196675.1	1.886	3.719	3.365	2.474	16.036
GCF_000196695.1	2.053	3.728	4.465	2.418	15.801
GCF_000196815.1	1.708	5.570	3.611	5.688	15.224
GCF_000196835.1	1.494	4.675	3.645	2.991	15.974
GCF_000196855.1	-0.607	0.123	0.901	-0.057	1.630
GCF_000196875.1	0.810	2.708	3.359	5.410	14.065
GCF_000196895.1	1.360	9.306	3.074	2.595	13.679
GCF_000197735.1	-0.017	0.640	3.373	2.287	12.667
GCF_000198515.1	3.963	3.256	3.311	3.864	14.916
GCF_000198775.1	-1.312	3.536	3.147	3.107	13.488
GCF_000199675.1	4.666	6.104	3.149	6.297	12.155
GCF_000200595.1	3.672	3.846	1.723	7.300	9.404
GCF_000202635.1	-2.257	-0.128	3.936	2.414	11.620
GCF_000203875.1	1.425	3.586	3.308	8.120	16.570
GCF_000203895.1	3.559	4.875	3.598	7.120	16.673
GCF_000204115.1	3.603	6.389	2.493	8.038	14.147
GCF_000204135.1	-0.250	-0.791	0.367	0.509	1.544
GCF_000204155.1	1.894	2.430	3.589	2.287	14.530
GCF_000204295.1	0.235	4.037	3.742	6.893	15.688
GCF_000204415.1	5.316	74.316	4.487	0.757	11.024
GCF_000204565.1	0.303	2.844	0.427	0.649	4.524
GCF_000204925.1	3.617	2.888	1.306	2.136	10.865
GCF_000208385.1	0.254	0.212	1.744	1.089	3.237
GCF_000208405.1	4.407	9.803	1.730	4.153	9.223
GCF_000209655.1	-1.400	3.539	3.475	3.584	14.881
GCF_000209675.1	2.814	2.275	2.611	6.125	8.193
GCF_000210895.1	4.160	3.632	0.965	5.157	8.391
GCF_000210915.2	-1.755	-0.608	2.051	6.144	9.441
GCF_000211375.1	-1.709	-0.725	0.365	-0.277	1.993
GCF_000211475.1	6.967	7.881	0.237	0.103	6.425
GCF_000211855.2	-2.263	-0.177	2.587	3.171	7.286
GCF_000212335.1	0.347	4.123	4.378	7.381	13.128
GCF_000212355.1	-1.692	-0.784	3.301	3.386	7.722
GCF_000212375.1	-0.526	4.921	-0.212	1.506	3.765
GCF_000212395.1	9.836	10.450	4.557	0.755	11.425
GCF_000212415.1	2.282	8.159	3.598	0.723	6.337
GCF_000212675.2	9.846	14.590	5.514	5.771	13.782
GCF_000212695.1	-0.011	2.323	3.438	3.254	14.898
GCF_000212735.1	1.232	3.787	3.586	3.859	15.294
GCF_000213215.1	3.878	3.614	0.501	2.061	9.039
GCF_000213235.1	0.862	10.085	0.239	1.026	3.853
GCF_000213255.1	2.045	5.341	0.690	0.938	5.871
GCF_000213655.1	-0.953	2.267	3.741	5.776	12.325
GCF_000213805.1	-1.326	2.855	2.932	7.598	15.011
GCF_000213865.1	0.487	0.668	1.413	0.033	2.663
GCF_000214095.2	6.846	7.584	6.542	4.979	15.143
GCF_000214155.1	2.288	3.349	4.310	2.165	15.350
GCF_000214175.1	0.902	3.129	3.373	2.418	15.109
GCF_000214215.1	-1.848	2.397	4.393	1.890	12.395
GCF_000214355.1	0.935	8.133	4.555	1.161	6.719
GCF_000214375.1	2.046	14.354	3.934	1.161	7.553
GCF_000214415.1	5.834	74.455	4.981	0.512	8.153
GCF_000214435.1	10.281	12.271	4.631	4.693	11.257
GCF_000214665.1	3.213	18.434	7.610	5.651	17.436
GCF_000214725.1	5.142	75.045	4.451	1.259	9.645
GCF_000214785.1	-0.918	0.547	1.208	-0.601	1.275
GCF_000214825.1	2.647	5.261	3.136	3.515	13.459
GCF_000215085.1	9.808	13.637	4.355	3.011	11.986
GCF_000215105.1	-2.039	1.618	3.251	2.460	13.423
GCF_000215325.1	0.758	3.619	3.231	4.334	15.997
GCF_000215645.1	-2.320	-1.046	3.451	6.216	8.095
GCF_000215705.1	-0.127	4.113	3.427	3.785	15.965
GCF_000215745.1	1.173	5.612	3.855	6.265	15.625
GCF_000215975.1	10.698	12.808	2.249	4.388	9.146
GCF_000215995.1	7.811	11.385	-0.220	0.367	5.925
GCF_000217635.1	1.143	-0.334	1.496	1.078	4.021
GCF_000217675.1	-0.762	3.368	2.683	8.058	10.892
GCF_000217715.1	2.050	11.245	3.154	1.303	13.700
GCF_000217795.1	10.392	20.491	4.616	5.467	11.147
GCF_000217815.1	2.406	3.218	0.456	0.536	5.435
GCF_000217995.1	6.109	76.062	5.074	3.159	10.753
GCF_000218545.1	-0.038	2.516	3.519	3.330	14.156
GCF_000218625.1	4.610	5.886	1.154	5.363	11.757
GCF_000218875.1	-1.184	6.383	5.205	3.758	9.647
GCF_000218895.1	1.018	4.223	3.427	5.258	15.305
GCF_000218915.1	1.736	3.983	3.560	3.410	15.118
GCF_000219045.1	1.865	3.246	0.069	0.822	8.862
GCF_000219105.1	0.368	2.833	3.543	5.346	15.445
GCF_000219175.1	1.784	3.249	1.905	0.148	5.788
GCF_000219215.1	1.290	3.571	4.448	7.252	17.125
GCF_000219355.1	0.060	2.052	1.128	3.402	6.942
GCF_000219535.2	1.243	3.595	4.041	3.596	15.266
GCF_000219585.1	0.004	3.098	3.639	7.529	14.505
GCF_000219705.1	1.641	3.016	2.805	3.812	15.009
GCF_000219725.1	0.671	2.822	1.210	0.938	5.344
GCF_000219805.1	-0.775	0.411	0.531	-0.750	0.844
GCF_000219875.1	2.081	-0.229	2.294	2.244	8.904
GCF_000219915.2	-0.185	3.703	0.923	1.849	11.197
GCF_000220625.1	-1.261	-1.518	1.645	5.837	6.241
GCF_000221045.1	-1.579	3.771	4.661	3.857	16.154
GCF_000221185.1	7.747	11.384	-0.423	0.151	6.715
GCF_000222305.1	-0.818	2.433	0.575	-0.317	0.553
GCF_000222485.1	0.545	2.440	2.674	4.184	12.165
GCF_000222835.1	-0.792	-0.359	0.575	-0.154	0.553
GCF_000223215.1	-0.029	5.060	0.160	1.705	4.808
GCF_000223395.1	8.427	6.470	1.721	3.541	7.554
GCF_000223885.1	0.293	3.123	2.381	5.371	13.073
GCF_000223905.1	2.221	6.344	3.515	2.951	13.939
GCF_000224005.2	4.830	10.699	4.887	7.826	15.427
GCF_000224085.1	-1.549	1.424	2.357	5.283	9.474
GCF_000224105.1	-0.910	-0.105	0.375	-0.035	0.044
GCF_000224675.1	1.410	5.848	2.142	1.972	13.313
GCF_000224985.1	-0.211	1.640	1.703	0.701	1.843
GCF_000225325.1	-1.038	0.280	0.578	-0.005	1.179
GCF_000225345.1	0.055	3.877	0.738	0.944	4.063
GCF_000225445.1	2.167	3.023	2.957	0.997	7.367
GCF_000225465.1	2.088	1.302	2.584	0.997	7.216
GCF_000226295.1	1.780	7.714	4.893	6.538	12.951
GCF_000226315.1	-1.380	0.246	1.022	3.807	8.930
GCF_000226565.1	-0.049	2.786	3.242	4.778	11.626
GCF_000226625.1	-0.160	1.920	1.100	4.189	9.602
GCF_000227665.2	1.980	4.200	4.031	3.292	15.052
GCF_000227685.2	9.630	4.424	3.429	7.800	16.085
GCF_000227705.2	0.627	4.990	3.435	3.689	12.659
GCF_000227745.2	10.021	10.861	5.071	9.152	15.358
GCF_000230275.1	-0.307	0.880	-0.387	0.864	4.244
GCF_000230555.1	-1.658	1.988	3.605	3.941	13.879
GCF_000230695.2	-0.721	4.934	3.055	4.744	13.928
GCF_000230715.2	3.253	8.320	1.737	2.577	11.179
GCF_000230735.2	2.302	12.231	2.384	1.231	12.670
GCF_000230895.2	1.357	3.869	3.522	2.418	16.435
GCF_000230955.2	-1.192	5.637	3.637	2.595	11.834
GCF_000230975.2	3.059	15.618	3.296	4.177	15.754
GCF_000230995.2	-0.437	6.985	6.478	3.889	17.551
GCF_000231385.2	8.590	21.847	4.720	6.807	14.246
GCF_000231405.2	3.777	13.808	2.298	7.093	12.219
GCF_000233435.1	1.026	-0.204	2.649	2.962	3.976
GCF_000233715.2	9.185	18.395	3.323	4.629	12.568
GCF_000233775.1	3.884	7.258	-0.502	1.340	5.643
GCF_000233915.3	-2.140	1.935	3.186	9.387	14.315
GCF_000235405.2	0.986	3.171	-0.347	0.837	6.618
GCF_000235565.1	6.791	75.396	4.648	0.794	9.503
GCF_000235585.1	2.430	4.245	4.839	2.004	11.658
GCF_000235605.1	8.634	23.476	3.348	5.739	13.594
GCF_000235685.2	5.275	67.997	4.152	1.096	10.713
GCF_000236065.1	1.212	15.241	4.379	5.787	17.185
GCF_000236405.1	0.509	-1.340	1.446	4.471	2.591
GCF_000236585.1	4.528	3.388	3.956	5.584	13.271
GCF_000236665.1	2.979	6.732	5.514	8.697	16.774
GCF_000236685.1	1.355	6.903	2.533	1.879	6.711
GCF_000236705.1	-1.260	-0.792	2.474	4.128	6.706
GCF_000236925.1	-0.363	0.942	2.418	2.307	8.930
GCF_000237085.1	2.083	13.354	4.894	0.992	8.997
GCF_000237145.1	1.860	2.503	3.565	2.860	16.110
GCF_000237205.1	-0.932	-2.270	1.308	0.993	4.490
GCF_000237305.1	1.334	3.583	4.465	2.474	15.937
GCF_000237995.1	-1.192	1.310	1.233	0.274	2.473
GCF_000238215.1	0.019	0.048	-0.498	3.353	3.878
GCF_000238995.1	-0.135	0.121	0.156	-0.142	0.120
GCF_000239975.1	1.670	5.848	2.142	2.094	13.730
GCF_000240075.2	0.240	-0.248	1.275	5.095	9.976
GCF_000240325.1	1.254	6.476	4.912	2.632	16.213
GCF_000241025.1	4.408	4.849	0.549	4.784	6.712
GCF_000241055.1	-1.181	0.352	0.874	0.189	1.949
GCF_000241385.1	1.856	5.320	5.436	9.731	14.982
GCF_000241875.1	1.673	1.550	3.092	2.308	8.179
GCF_000242255.2	-0.438	3.295	4.045	5.445	15.240
GCF_000242335.1	-0.648	1.465	-0.228	5.240	5.825
GCF_000242455.2	4.143	15.970	3.905	5.726	16.543
GCF_000242595.2	0.175	3.945	1.239	1.453	6.347
GCF_000242635.2	0.486	2.286	2.383	6.148	13.962
GCF_000242895.2	2.960	5.899	2.875	8.203	15.303
GCF_000242915.1	6.518	5.701	2.770	8.172	14.145
GCF_000242935.2	-0.056	4.531	7.009	5.930	13.986
GCF_000243075.1	2.999	3.613	3.542	8.027	14.277
GCF_000243115.2	0.082	2.882	2.868	5.582	13.488
GCF_000243135.2	4.790	13.389	2.431	7.174	12.218
GCF_000243155.2	4.011	14.727	2.470	7.174	13.178
GCF_000244875.1	1.928	7.923	3.801	0.741	8.897
GCF_000245355.1	2.149	3.567	4.582	2.971	16.113
GCF_000246835.1	-1.287	0.446	0.915	0.688	3.021
GCF_000246855.1	1.169	4.078	4.283	4.153	16.428
GCF_000246985.2	5.747	11.294	-0.220	0.151	7.106
GCF_000247565.1	-1.152	-0.710	1.956	0.915	2.479
GCF_000247605.1	1.838	18.561	3.566	1.170	9.814
GCF_000247715.1	0.889	3.451	4.729	2.637	14.831
GCF_000248095.2	-1.114	1.436	1.153	-0.438	1.667
GCF_000250635.1	-1.269	-1.130	2.275	5.554	6.912
GCF_000250675.2	-0.947	2.426	3.875	1.897	15.718
GCF_000251105.1	6.907	67.424	3.409	0.881	8.593
GCF_000252445.1	1.239	3.088	4.826	3.192	15.298
GCF_000252975.1	-0.127	0.974	2.838	1.434	6.494
GCF_000252995.1	3.732	5.544	2.792	5.671	14.359
GCF_000253015.1	0.118	0.792	1.648	1.457	7.256
GCF_000253035.1	0.185	-0.875	1.061	4.356	11.844
GCF_000253055.1	9.635	5.917	0.830	1.603	9.220
GCF_000253155.1	-1.674	0.100	0.500	0.731	2.098
GCF_000253255.1	-0.857	2.882	4.582	7.427	15.787
GCF_000253275.1	-0.091	1.566	3.515	4.453	11.178
GCF_000253295.1	2.187	19.779	6.957	8.005	18.763
GCF_000253315.1	0.223	-0.799	0.044	0.810	1.410
GCF_000255115.2	8.619	17.759	4.490	6.923	14.499
GCF_000255135.1	2.230	3.057	-0.199	0.536	4.726
GCF_000255295.1	-0.091	3.391	2.816	5.468	14.262
GCF_000255355.1	0.537	1.892	0.989	3.625	5.939
GCF_000257545.3	2.130	3.647	3.768	6.535	15.668
GCF_000258405.1	2.765	3.935	1.275	7.090	10.439
GCF_000259175.1	1.666	4.781	2.098	5.824	13.111
GCF_000259255.1	3.067	2.896	1.083	7.463	9.232
GCF_000259275.1	3.220	3.059	1.246	7.463	9.145
GCF_000260965.1	2.320	16.894	3.524	3.452	14.043
GCF_000260985.3	2.798	16.029	4.970	4.019	15.123
GCF_000261025.1	-0.136	0.856	-0.235	4.180	5.981
GCF_000261345.2	-1.091	2.107	3.410	2.221	15.464
GCF_000262165.1	1.329	2.932	4.484	2.165	15.736
GCF_000262205.1	-0.515	2.295	0.201	0.713	7.177
GCF_000262305.1	3.288	5.540	2.669	6.123	15.331
GCF_000262325.2	-0.385	3.283	4.506	5.435	16.021
GCF_000262715.1	0.603	-0.219	1.592	3.185	2.870
GCF_000263195.1	1.759	4.880	3.722	5.330	14.184
GCF_000263735.1	7.101	8.070	1.432	0.074	7.275
GCF_000264455.2	0.336	2.075	4.499	5.390	16.045
GCF_000264495.1	4.707	5.025	-0.340	0.274	5.448
GCF_000265295.1	6.305	12.337	5.387	7.158	14.221
GCF_000265365.1	0.688	6.698	-0.263	0.458	6.119
GCF_000265385.1	-2.257	-0.874	2.375	3.883	6.656
GCF_000265405.1	-0.642	2.337	2.985	6.412	10.623
GCF_000265425.1	2.625	6.689	4.485	5.054	15.764
GCF_000265465.1	-1.006	-1.906	0.910	5.443	4.869
GCF_000265505.1	-0.619	1.830	2.197	4.331	9.268
GCF_000265525.1	7.827	10.447	-0.351	0.151	6.291
GCF_000266885.1	0.512	2.005	3.888	6.128	14.231
GCF_000266905.1	2.516	4.213	3.678	2.494	17.496
GCF_000266925.1	5.281	16.623	-0.031	0.938	6.166
GCF_000266945.1	7.944	19.675	5.591	7.948	15.388
GCF_000267545.1	0.777	5.821	3.814	8.217	13.346
GCF_000269925.1	0.195	0.795	1.290	0.535	2.521
GCF_000269985.1	-1.225	2.793	3.154	1.726	15.358
GCF_000270085.1	-0.770	0.337	0.704	-0.081	0.717
GCF_000270165.1	-1.107	0.423	1.641	0.810	3.162
GCF_000270205.1	0.699	-0.277	-0.055	0.678	1.649
GCF_000270245.1	-0.465	1.751	3.576	3.075	15.382
GCF_000270285.1	4.846	5.898	0.447	3.902	8.028
GCF_000270305.1	2.920	8.043	3.738	1.554	9.233
GCF_000271325.1	-1.525	1.529	4.640	3.410	10.301
GCF_000271405.2	-0.171	-0.493	1.520	0.680	3.142
GCF_000271665.2	3.647	11.263	3.126	4.816	11.999
GCF_000277715.1	0.854	3.568	0.219	5.254	9.957
GCF_000277795.1	-0.043	0.141	-0.140	-0.305	0.193
GCF_000279145.1	2.480	3.292	3.052	7.100	12.805
GCF_000279165.1	1.211	3.608	4.248	8.331	16.091
GCF_000280925.3	0.200	4.551	3.792	5.253	16.200
GCF_000281175.1	5.584	11.576	4.100	7.131	15.095
GCF_000281695.1	1.501	10.436	2.398	1.231	11.918
GCF_000283275.1	-0.017	2.578	3.893	4.250	13.432
GCF_000283475.1	0.655	3.717	4.168	4.334	16.255
GCF_000283515.1	-1.496	1.897	3.692	7.345	15.973
GCF_000283535.1	0.504	5.241	3.231	3.417	15.977
GCF_000283555.1	0.699	0.172	-0.103	0.678	1.977
GCF_000283575.1	1.109	7.313	0.980	0.476	6.429
GCF_000283615.1	0.481	0.040	1.759	0.552	3.178
GCF_000283655.1	1.015	17.403	5.594	6.956	16.810
GCF_000283975.1	-0.550	0.270	1.042	0.571	1.483
GCF_000284015.1	1.371	4.237	3.694	2.613	15.130
GCF_000284035.1	-1.225	2.653	3.325	2.246	15.350
GCF_000284095.1	4.036	11.577	3.216	3.910	9.382
GCF_000284115.1	0.485	3.403	4.293	3.448	12.798
GCF_000284155.1	0.523	0.440	1.858	4.185	6.665
GCF_000284235.1	2.878	6.666	4.876	4.588	15.376
GCF_000284255.1	2.956	20.824	6.585	9.673	16.670
GCF_000284275.1	0.225	6.113	7.433	8.414	19.299
GCF_000284295.1	1.860	2.281	3.510	2.592	16.130
GCF_000284315.1	4.135	10.211	6.235	6.762	14.329
GCF_000284335.1	3.265	2.070	-0.640	1.122	6.464
GCF_000284375.1	1.697	6.777	7.258	6.758	19.181
GCF_000284415.1	-1.983	10.387	5.799	5.320	13.603
GCF_000284515.1	1.209	1.590	4.245	3.525	10.382
GCF_000284635.1	2.751	2.533	0.489	6.588	9.336
GCF_000286275.1	1.901	5.686	2.779	2.409	14.291
GCF_000286435.2	3.240	5.413	2.065	3.194	13.214
GCF_000287215.2	0.957	4.518	2.911	8.272	14.905
GCF_000287295.1	-0.163	-0.412	1.429	0.681	1.258
GCF_000287335.1	2.087	2.277	2.293	1.254	7.422
GCF_000287355.1	0.259	0.164	0.816	0.148	1.087
GCF_000292685.1	2.570	1.791	1.231	0.956	5.896
GCF_000292915.1	-0.833	3.994	4.227	4.703	16.624
GCF_000293885.2	2.236	3.698	4.451	5.170	16.631
GCF_000294515.1	3.529	3.829	3.675	2.719	14.940
GCF_000294775.2	1.970	2.155	3.782	3.848	15.559
GCF_000296215.2	1.845	7.095	7.356	6.956	19.198
GCF_000297055.2	10.222	7.959	3.766	8.116	14.472
GCF_000297075.2	-0.050	3.441	4.024	7.858	16.124
GCF_000299095.1	0.525	7.961	1.713	4.104	10.607
GCF_000299115.1	-0.480	3.255	2.323	3.941	10.851
GCF_000299235.1	4.454	7.587	3.612	5.344	11.914
GCF_000299335.2	-0.912	2.284	3.916	6.438	12.423
GCF_000299355.1	1.572	5.130	3.089	0.191	7.348
GCF_000299395.1	3.108	5.773	2.524	2.492	9.997
GCF_000299435.1	-2.063	-0.650	2.609	3.565	7.603
GCF_000299965.1	3.204	6.112	3.892	4.538	13.279
GCF_000299995.1	-1.010	2.186	3.821	6.780	11.131
GCF_000300005.1	2.463	2.669	4.597	7.615	13.887
GCF_000300135.1	-0.596	0.123	0.901	-0.057	1.213
GCF_000300235.2	-1.331	2.528	4.024	6.396	15.938
GCF_000300255.2	4.044	28.073	4.897	0.529	8.681
GCF_000300295.3	-0.017	2.836	1.291	1.195	8.414
GCF_000300455.3	2.885	7.673	4.632	2.094	15.065
GCF_000300475.1	2.822	4.418	4.878	3.726	14.921
GCF_000302535.1	-0.692	4.614	4.310	4.579	16.120
GCF_000304215.1	1.083	0.481	1.417	0.007	3.604
GCF_000304315.1	3.507	21.826	5.922	6.460	18.215
GCF_000304355.2	4.261	72.943	4.815	1.285	10.160
GCF_000304455.1	-0.369	-0.401	0.584	0.060	1.552
GCF_000305775.1	4.375	16.332	3.455	1.810	9.894
GCF_000305785.2	0.780	2.015	2.755	9.290	11.742
GCF_000305935.1	5.806	18.119	3.459	3.012	9.233
GCF_000306725.1	5.407	77.376	4.329	1.685	11.609
GCF_000306765.2	1.628	9.610	3.286	2.977	12.616
GCF_000306785.1	1.653	2.723	3.658	2.318	15.543
GCF_000306805.1	-0.038	0.396	0.922	-0.015	1.862
GCF_000306885.1	0.446	1.877	1.411	3.785	6.517
GCF_000307105.1	10.277	14.577	1.638	5.640	11.406
GCF_000307165.1	-1.529	1.436	-0.181	0.611	2.786
GCF_000309885.1	5.166	4.106	3.692	7.462	14.903
GCF_000310065.1	2.158	3.807	3.860	3.473	14.568
GCF_000310105.2	-1.067	1.976	3.701	6.694	11.421
GCF_000311765.1	-0.371	3.546	4.108	5.652	14.658
GCF_000312705.1	3.863	11.543	7.165	3.843	16.505
GCF_000313175.2	1.279	2.688	3.608	4.206	13.665
GCF_000316175.1	1.762	3.755	3.473	6.555	15.609
GCF_000316515.1	2.914	8.078	6.945	4.000	15.304
GCF_000316575.1	2.615	11.000	6.589	3.843	16.509
GCF_000316605.1	2.152	4.567	7.237	5.974	15.707
GCF_000316625.1	2.735	10.165	6.788	3.843	17.700
GCF_000316645.1	2.641	13.632	7.440	3.924	16.948
GCF_000316665.1	2.952	8.014	5.627	3.721	16.499
GCF_000316685.1	1.201	6.747	7.116	5.887	12.136
GCF_000317025.1	3.533	8.888	6.204	4.809	18.213
GCF_000317045.1	3.269	10.051	7.835	4.097	15.941
GCF_000317065.1	1.985	7.319	7.054	5.950	14.866
GCF_000317085.1	1.563	7.998	7.778	3.547	14.404
GCF_000317105.1	2.574	11.030	6.577	4.636	15.347
GCF_000317125.1	2.733	8.077	7.135	4.421	18.402
GCF_000317305.3	-1.962	2.084	4.661	2.165	16.079
GCF_000317435.1	4.073	9.846	7.005	3.628	17.177
GCF_000317475.1	3.460	12.782	7.288	3.809	17.168
GCF_000317495.1	1.713	9.522	6.985	3.843	15.806
GCF_000317515.1	2.642	11.962	7.221	3.843	17.934
GCF_000317555.1	0.955	7.400	7.219	3.842	16.416
GCF_000317575.1	2.163	7.158	7.003	3.821	16.081
GCF_000317615.1	2.608	8.596	8.681	4.042	13.684
GCF_000317635.1	4.164	9.117	8.161	4.236	16.248
GCF_000317675.1	3.563	8.606	7.673	4.000	15.221
GCF_000317695.1	2.723	10.089	8.284	3.272	17.448
GCF_000317795.1	5.459	2.110	-0.021	2.061	8.756
GCF_000317835.1	1.239	2.474	3.727	3.110	14.651
GCF_000317875.1	1.029	1.876	1.665	4.080	7.826
GCF_000317895.1	-0.424	0.201	1.189	6.260	10.885
GCF_000317975.2	-0.545	0.475	1.167	0.637	2.770
GCF_000319225.1	0.677	4.729	0.878	-0.057	6.378
GCF_000319245.1	0.437	3.242	0.780	-0.057	5.648
GCF_000319385.1	-0.420	2.004	2.342	3.430	7.353
GCF_000319575.2	1.751	7.151	3.437	3.927	11.511
GCF_000321415.2	10.250	5.380	2.918	8.445	16.429
GCF_000325705.1	-0.354	1.629	2.628	6.596	11.557
GCF_000325745.1	0.336	0.320	2.299	0.733	7.860
GCF_000327045.1	9.147	11.621	4.971	8.522	15.875
GCF_000327065.1	1.885	5.837	4.248	8.217	13.502
GCF_000327485.1	5.262	76.423	5.027	0.743	9.064
GCF_000327505.1	5.699	4.960	-0.184	0.431	6.089
GCF_000328565.1	-0.793	4.139	3.965	3.064	15.856
GCF_000328625.1	5.209	5.214	2.357	0.938	6.825
GCF_000328665.1	4.310	76.537	5.645	2.914	13.178
GCF_000328685.1	1.717	9.983	2.938	1.874	13.832
GCF_000328705.1	-1.064	4.024	4.856	2.734	16.210
GCF_000328725.1	-0.408	-0.605	0.010	-0.177	-0.115
GCF_000330845.1	1.833	5.540	4.289	3.796	15.462
GCF_000330865.1	0.062	4.445	3.652	6.245	15.474
GCF_000330885.1	-0.301	6.724	6.339	3.650	17.507
GCF_000331735.1	-0.050	4.502	3.650	5.346	16.307
GCF_000331995.1	0.435	9.324	3.645	1.201	5.985
GCF_000332115.1	-1.517	-1.454	2.375	3.294	6.309
GCF_000332735.1	2.004	0.779	2.635	2.123	9.038
GCF_000336425.1	0.943	4.567	3.652	6.135	15.220
GCF_000336465.1	-1.085	3.185	3.569	5.435	15.398
GCF_000340435.2	1.210	3.802	4.452	3.212	15.733
GCF_000340795.1	-0.109	3.543	0.926	-0.057	5.865
GCF_000340865.1	0.422	3.242	0.780	-0.057	5.561
GCF_000340885.1	3.045	12.909	3.692	1.910	10.421
GCF_000340905.1	0.506	3.493	0.926	-0.057	5.392
GCF_000341345.1	-0.056	0.447	3.918	2.196	11.094
GCF_000341355.1	-0.077	0.792	1.648	1.857	7.514
GCF_000341385.1	-0.401	0.792	1.648	2.554	8.405
GCF_000341395.1	9.541	16.394	4.222	6.284	13.213
GCF_000341465.2	-1.139	4.097	2.969	3.470	14.367
GCF_000342265.1	1.609	6.001	3.211	4.660	13.691
GCF_000344785.1	-2.634	1.021	4.380	2.436	8.380
GCF_000344805.1	0.924	6.289	7.290	7.739	19.327
GCF_000347595.1	2.050	1.465	-0.396	5.013	6.867
GCF_000347635.1	-1.224	2.263	4.684	7.305	12.526
GCF_000347675.2	-0.966	2.480	4.122	7.785	14.244
GCF_000347695.1	0.687	0.668	1.413	0.801	2.995
GCF_000348725.1	-0.097	0.753	1.583	4.105	8.822
GCF_000348745.1	-0.716	1.064	0.997	3.726	8.722
GCF_000348785.1	-0.603	10.282	3.680	3.411	15.139
GCF_000348805.1	0.554	-0.099	1.986	3.185	3.115
GCF_000349765.1	1.704	1.764	-0.198	5.013	6.225
GCF_000349845.1	0.882	3.703	2.674	7.540	15.143
GCF_000349945.1	3.334	18.743	5.369	9.184	18.005
GCF_000350305.1	3.712	24.855	2.554	0.684	6.658
GCF_000355675.1	-0.409	2.972	4.212	6.702	12.488
GCF_000355695.1	-3.098	-1.379	3.109	2.287	9.569
GCF_000359525.1	-0.654	2.123	3.293	2.287	15.347
GCF_000367205.1	1.092	1.028	3.068	3.908	12.016
GCF_000367425.1	1.134	5.604	2.715	3.918	14.719
GCF_000376545.2	1.711	5.106	3.885	3.650	14.432
GCF_000376585.1	0.779	2.476	2.170	3.489	7.268
GCF_000385525.1	-0.309	3.751	4.233	5.820	16.224
GCF_000385565.1	9.274	34.407	3.585	1.931	10.554
GCF_000385925.1	-1.755	-0.915	-0.554	0.158	2.281
GCF_000385945.1	0.004	3.066	3.410	2.099	15.464
GCF_000389635.1	2.828	8.279	4.020	1.317	11.851
GCF_000389965.1	1.827	2.708	3.664	2.718	15.686
GCF_000400635.2	-2.301	2.163	3.518	2.738	15.806
GCF_000400935.1	0.215	0.030	0.542	0.137	0.578
GCF_000400955.1	-0.448	-0.094	0.233	0.218	0.359
GCF_000402035.1	0.677	14.501	4.601	5.787	17.109
GCF_000403645.1	-1.545	8.493	2.833	2.595	11.888
GCF_000404165.1	5.193	71.014	4.948	0.743	7.688
GCF_000404225.1	4.583	34.908	4.728	0.471	8.686
GCF_000410575.1	1.185	2.775	2.805	6.413	14.919
GCF_000412265.2	0.260	3.412	4.458	2.095	15.745
GCF_000412695.1	0.538	3.713	3.396	6.341	15.675
GCF_000416365.2	-0.920	2.212	4.513	2.093	15.891
